,X,latency,values.getpoints,values.averagepoint,values.rad,id,block,optimalr,optimalt,optimalp,time,timesensitivity,indexp
159,159,2482,20.26541896,16.58775669,0.688924388,b,1,0.435678665,2.413634942,18.71684457,2.482,0.068365058,1.082736937
160,160,2249,-5,16.99638583,0.696162101,b,1,0.435678665,2.413634942,18.71684457,2.249,-0.164634942,-0.267139046
161,161,2506,18.79308152,14.79674724,0.692930777,b,1,0.435678665,2.413634942,18.71684457,2.506,0.092365058,1.004073173
162,162,2627,11.51766449,15.16005036,0.710538316,b,1,0.435678665,2.413634942,18.71684457,2.627,0.213365058,0.61536358
163,163,2101,-5,14.8565182,0.709402669,b,1,0.435678665,2.413634942,18.71684457,2.101,-0.312634942,-0.267139046
164,164,2185,-5,13.32909373,0.707806264,b,1,0.435678665,2.413634942,18.71684457,2.185,-0.228634942,-0.267139046
165,165,2563,15.27753608,12.01987275,0.703946119,b,1,0.435678665,2.413634942,18.71684457,2.563,0.149365058,0.816245282
166,166,2482,20.12977803,12.2370503,0.713138137,b,1,0.435678665,2.413634942,18.71684457,2.482,0.068365058,1.075489939
167,167,2231,-5,12.73034579,0.711364919,b,1,0.435678665,2.413634942,18.71684457,2.231,-0.182634942,-0.267139046
168,168,2516,18.1806546,11.68738427,0.704927152,b,1,0.435678665,2.413634942,18.71684457,2.516,0.102365058,0.971352545
169,169,2384,25.05959332,12.04812151,0.687268761,b,1,0.435678665,2.413634942,18.71684457,2.384,-0.029634942,1.33887917
170,170,2487,20.01302312,12.73293581,0.676456206,b,1,0.435678665,2.413634942,18.71684457,2.487,0.073365058,1.06925198
171,171,2006,-5,13.09694018,0.700044546,b,1,0.435678665,2.413634942,18.71684457,2.006,-0.407634942,-0.267139046
172,172,2230,-5,12.23518112,0.69989287,b,1,0.435678665,2.413634942,18.71684457,2.23,-0.183634942,-0.267139046
173,173,2376,25.30981475,11.4517638,0.687771366,b,1,0.435678665,2.413634942,18.71684457,2.376,-0.037634942,1.352247953
174,174,2321,26.35456779,12.05428775,0.690446457,b,1,0.435678665,2.413634942,18.71684457,2.321,-0.092634942,1.408066819
