,X,latency,values.getpoints,values.averagepoint,values.rad,id,block,optimalr,optimalt,optimalp,time,timesensitivity,indexp
129,129,2338,-5,17.95209104,0.581380184,a,5,0.467684707,2.176807781,17.75200353,2.338,0.161192219,-0.281658349
130,130,2396,-5,15.4018587,0.544797756,a,5,0.467684707,2.176807781,17.75200353,2.396,0.219192219,-0.281658349
131,131,2089,17.64377459,13.36167283,0.559137384,a,5,0.467684707,2.176807781,17.75200353,2.089,-0.087807781,0.993903283
132,132,2373,-5,13.75095481,0.562841371,a,5,0.467684707,2.176807781,17.75200353,2.373,0.196192219,-0.281658349
133,133,2255,30.51824701,12.18837524,0.550484806,a,5,0.467684707,2.176807781,17.75200353,2.255,0.078192219,1.719143811
134,134,2249,29.91776482,13.59836538,0.560533015,a,5,0.467684707,2.176807781,17.75200353,2.249,0.072192219,1.685317647
135,135,2204,27.45615381,14.76403677,0.563547048,a,5,0.467684707,2.176807781,17.75200353,2.204,0.027192219,1.546650989
136,136,2072,16.2088522,15.6101779,0.567510773,a,5,0.467684707,2.176807781,17.75200353,2.072,-0.104807781,0.913071709
137,137,2167,24.94753543,15.64759505,0.543523703,a,5,0.467684707,2.176807781,17.75200353,2.167,-0.009807781,1.405336327
138,138,NA,NA,NA,NA,a,5,NA,NA,NA,NA,NA,NA
139,139,2053,14.25387648,15.01716979,0.556106246,a,5,0.467684707,2.176807781,17.75200353,2.053,-0.123807781,0.802944662
140,140,2193,27.20386482,14.97699646,0.539976434,a,5,0.467684707,2.176807781,17.75200353,2.193,0.016192219,1.532439129
141,141,2327,-5,15.58833987,0.552656652,a,5,0.467684707,2.176807781,17.75200353,2.327,0.150192219,-0.281658349
142,142,2314,-5,14.60794274,0.555870809,a,5,0.467684707,2.176807781,17.75200353,2.314,0.137192219,-0.281658349
143,143,2112,19.7195606,13.71667261,0.547718641,a,5,0.467684707,2.176807781,17.75200353,2.112,-0.064807781,1.110835775
144,144,2142,22.58301425,13.97766774,0.561599034,a,5,0.467684707,2.176807781,17.75200353,2.142,-0.034807781,1.2721389
145,145,2217,28.80122614,14.33622385,0.544932105,a,5,0.467684707,2.176807781,17.75200353,2.217,0.040192219,1.622421159
146,146,2089,17.55024726,14.91482394,0.552889985,a,5,0.467684707,2.176807781,17.75200353,2.089,-0.087807781,0.988634732
147,147,2056,14.11653184,15.01618638,0.539525046,a,5,0.467684707,2.176807781,17.75200353,2.056,-0.120807781,0.795207809
148,148,2241,30.35619717,14.98286584,0.539085575,a,5,0.467684707,2.176807781,17.75200353,2.241,0.064192219,1.710015273
149,149,2340,-5,15.53191338,0.548426447,a,5,0.467684707,2.176807781,17.75200353,2.34,0.163192219,-0.281658349
150,150,2102,18.33425223,14.82391637,0.520431048,a,5,0.467684707,2.176807781,17.75200353,2.102,-0.074807781,1.032799041
151,151,2083,9.1527721,0,0.36112029,b,1,0.669075801,2.143516077,16.59974155,2.083,-0.060516077,0.551380398
152,152,2022,13.78736213,9.1527721,1.376431061,b,1,0.669075801,2.143516077,16.59974155,2.022,-0.121516077,0.830576915
153,153,1955,13.00142174,11.47006712,1.012916436,b,1,0.669075801,2.143516077,16.59974155,1.955,-0.188516077,0.783230371
154,154,1885,11.436687,11.98051866,1.4708,b,1,0.669075801,2.143516077,16.59974155,1.885,-0.258516077,0.688967775
155,155,1806,8.516690949,11.84456075,1.03907226,b,1,0.669075801,2.143516077,16.59974155,1.806,-0.337516077,0.51306166
156,156,2241,5.222612235,11.17898679,0.1,b,1,0.669075801,2.143516077,16.59974155,2.241,0.097483923,0.314620093
157,157,2134,2.853923671,10.18625769,0.212432021,b,1,0.669075801,2.143516077,16.59974155,2.134,-0.009516077,0.171925789
158,158,2102,14.2698801,9.138781405,1.4708,b,1,0.669075801,2.143516077,16.59974155,2.102,-0.041516077,0.859644715
159,159,2091,14.16397898,9.780168742,1.4708,b,1,0.669075801,2.143516077,16.59974155,2.091,-0.052516077,0.853265031
160,160,2337,-5,10.26725877,0.714479048,b,1,0.669075801,2.143516077,16.59974155,2.337,0.193483923,-0.301209509
161,161,2126,14.48343709,8.740532892,1.4708,b,1,0.669075801,2.143516077,16.59974155,2.126,-0.017516077,0.872509795
162,162,2114,14.37970691,9.262615092,1.4708,b,1,0.669075801,2.143516077,16.59974155,2.114,-0.029516077,0.866260891
163,163,2203,20.30361561,9.68903941,0.936413506,b,1,0.669075801,2.143516077,16.59974155,2.203,0.059483923,1.223128417
164,164,2405,-5,10.50554527,0.868353418,b,1,0.669075801,2.143516077,16.59974155,2.405,0.261483923,-0.301209509
165,165,2014,8.745649903,9.398006324,0.492485766,b,1,0.669075801,2.143516077,16.59974155,2.014,-0.129516077,0.526854582
166,166,2196,0.005092968,9.354515896,0.1,b,1,0.669075801,2.143516077,16.59974155,2.196,0.052483923,0.00030681
167,167,2488,-5,8.770176963,0.731396663,b,1,0.669075801,2.143516077,16.59974155,2.488,0.344483923,-0.301209509
168,168,2176,24.31654367,7.960166553,0.632748835,b,1,0.669075801,2.143516077,16.59974155,2.176,0.032483923,1.464874835
169,169,2069,13.9376826,8.868854171,1.4708,b,1,0.669075801,2.143516077,16.59974155,2.069,-0.074516077,0.839632506
170,170,2263,25.33921705,9.135634614,0.721654851,b,1,0.669075801,2.143516077,16.59974155,2.263,0.119483923,1.526482625
171,171,2164,21.26286296,9.945813736,0.800322428,b,1,0.669075801,2.143516077,16.59974155,2.164,0.020483923,1.280915302
172,172,2303,-5,10.48472084,0.659628743,b,1,0.669075801,2.143516077,16.59974155,2.303,0.159483923,-0.301209509
173,173,2296,25.70915916,9.780869895,0.717211354,b,1,0.669075801,2.143516077,16.59974155,2.296,0.152483923,1.548768641
174,174,2166,14.78338841,10.47340421,1.4708,b,1,0.669075801,2.143516077,16.59974155,2.166,0.022483923,0.890579433
175,175,2259,26.00083733,10.65298689,0.693867196,b,1,0.669075801,2.143516077,16.59974155,2.259,0.115483923,1.566339889
176,176,2305,-5,11.2669009,0.712610315,b,1,0.669075801,2.143516077,16.59974155,2.305,0.161483923,-0.301209509
177,177,2096,17.36433278,10.64125087,0.504861372,b,1,0.669075801,2.143516077,16.59974155,2.096,-0.047516077,1.04606043
178,178,1986,12.52005901,10.8902539,0.728854726,b,1,0.669075801,2.143516077,16.59974155,1.986,-0.157516077,0.754232165
179,179,2273,21.53695066,10.94846123,0.908202772,b,1,0.669075801,2.143516077,16.59974155,2.273,0.129483923,1.297426866
180,180,2140,14.59655889,11.31358155,1.4708,b,1,0.669075801,2.143516077,16.59974155,2.14,-0.003516077,0.879324467
181,181,2258,22.78411121,NA,0.834008488,b,2,0.669075801,2.143516077,16.59974155,2.258,0.114483923,1.37255819
182,182,2301,-5,22.78411121,0.690893784,b,2,0.669075801,2.143516077,16.59974155,2.301,0.157483923,-0.301209509
183,183,2179,24.59659779,8.892055603,0.626574068,b,2,0.669075801,2.143516077,16.59974155,2.179,0.035483923,1.481745828
184,184,2326,-5,14.126903,0.70049637,b,2,0.669075801,2.143516077,16.59974155,2.326,0.182483923,-0.301209509
