trialnum,latency,getpoints,averagepoint,rad,totalpoint,participants,block,time,indexp,timesensitivity,optimaldeg,optimalt,optimalp
95,2033,13.50597494,14.59328285,0.598292231,1777.128237,a,4,2.033,0.622498184,-0.176222969,20.54657184,2.209222969,21.69640858
96,2161,23.94094991,14.37582127,0.588903504,1801.069187,a,4,2.161,1.103452206,-0.048222969,20.54657184,2.209222969,21.69640858
97,2189,25.20309025,15.97000938,0.624782547,1826.272278,a,4,2.189,1.161624983,-0.020222969,20.54657184,2.209222969,21.69640858
98,2207,26.23093926,17.28902093,0.621018125,1852.503217,a,4,2.207,1.208999137,-0.002222969,20.54657184,2.209222969,21.69640858
99,2124,20.97033182,18.40676072,0.607251563,1873.473549,a,4,2.124,0.966534703,-0.085222969,20.54657184,2.209222969,21.69640858
100,1988,10.72886722,18.69160195,0.621416347,1884.202416,a,4,1.988,0.494499686,-0.221222969,20.54657184,2.209222969,21.69640858
101,2019,12.77544673,17.89532848,0.614662952,1896.977863,a,4,2.019,0.588827717,-0.190222969,20.54657184,2.209222969,21.69640858
102,2167,24.17375881,17.42988469,0.60459859,1921.151621,a,4,2.167,1.114182503,-0.042222969,20.54657184,2.209222969,21.69640858
103,2186,25.2118768,17.9918742,0.615393012,1946.363498,a,4,2.186,1.16202996,-0.023222969,20.54657184,2.209222969,21.69640858
104,2125,20.98039504,18.54725901,0.631315878,1967.343893,a,4,2.125,0.966998522,-0.084222969,20.54657184,2.209222969,21.69640858
105,2202,26.08375381,18.72105444,0.616421346,1993.427647,a,4,2.202,1.202215275,-0.007222969,20.54657184,2.209222969,21.69640858
106,2122,20.80679584,19.21190107,0.612622895,2014.234443,a,4,2.122,0.958997235,-0.087222969,20.54657184,2.209222969,21.69640858
107,2197,25.82927409,19.31158199,0.615826515,2040.063717,a,4,2.197,1.190486158,-0.012222969,20.54657184,2.209222969,21.69640858
108,2336,-5,19.69497564,0.588002604,2035.063717,a,4,2.336,-0.230452887,0.126777031,20.54657184,2.209222969,21.69640858
109,2159,23.47550378,18.32303255,0.616436349,2058.539221,a,4,2.159,1.081999525,-0.050222969,20.54657184,2.209222969,21.69640858
110,2183,25.39834865,18.59421525,0.595309363,2083.937569,a,4,2.183,1.170624556,-0.026222969,20.54657184,2.209222969,21.69640858
111,2200,26.64810065,18.93442192,0.586864948,2110.58567,a,4,2.2,1.228226347,-0.009222969,20.54657184,2.209222969,21.69640858
112,2038,14.05258369,19.30173995,0.606059332,2124.638254,a,4,2.038,0.647691697,-0.171222969,20.54657184,2.209222969,21.69640858
113,2264,28.87366452,19.06314194,0.602494343,2153.511918,a,4,2.264,1.330803871,0.054777031,20.54657184,2.209222969,21.69640858
114,2053,14.9485373,19.4896864,0.589127462,2168.460456,a,4,2.053,0.688986716,-0.156222969,20.54657184,2.209222969,21.69640858
115,2305,-5,19.30047186,0.583302286,2163.460456,a,4,2.305,-0.230452887,0.095777031,20.54657184,2.209222969,21.69640858
116,2144,22.47715386,18.32845298,0.609962897,2185.937609,a,4,2.144,1.035985001,-0.065222969,20.54657184,2.209222969,21.69640858
