trialnum,latency,getpoints,averagepoint,rad,totalpoint,participants,block,time,indexp,timesensitivity,optimaldeg,optimalt,optimalp
1,2309,16.29817204,0,1.338645696,16.29817204,b,1,2.309,0.44715725,0.009000024,12.26565436,2.299999976,36.4484128
2,2202,16.85959983,16.29817204,1.237944606,33.15777187,b,1,2.202,0.462560604,-0.097999976,12.26565436,2.299999976,36.4484128
3,2063,12.4428851,16.57888594,1.786330487,45.60065697,b,1,2.063,0.341383455,-0.236999976,12.26565436,2.299999976,36.4484128
4,2119,1.925172201,15.20021899,0.217821728,47.52582917,b,1,2.119,0.052819096,-0.180999976,12.26565436,2.299999976,36.4484128
5,2121,20.73560529,11.88145729,0.590176513,68.26143446,b,1,2.121,0.568902833,-0.178999976,12.26565436,2.299999976,36.4484128
6,1864,2.527540947,13.65228689,0.546583481,70.78897541,b,1,1.864,0.069345707,-0.435999976,12.26565436,2.299999976,36.4484128
7,2202,31.22180189,11.79816257,0.391760826,102.0107773,b,1,2.202,0.85660251,-0.097999976,12.26565436,2.299999976,36.4484128
8,2243,44.95166664,14.57296819,0.187639772,146.9624439,b,1,2.243,1.233295586,-0.056999976,12.26565436,2.299999976,36.4484128
9,2128,0.532731162,18.37030549,0.182388349,147.4951751,b,1,2.128,0.014616032,-0.171999976,12.26565436,2.299999976,36.4484128
10,2053,14.47128559,16.38835279,0.565581112,161.9664607,b,1,2.053,0.397034726,-0.246999976,12.26565436,2.299999976,36.4484128
11,2278,29.89351499,16.19664607,0.581690695,191.8599757,b,1,2.278,0.820159582,-0.021999976,12.26565436,2.299999976,36.4484128
12,2147,22.92791104,17.44181597,0.578837891,214.7878867,b,1,2.147,0.629051014,-0.152999976,12.26565436,2.299999976,36.4484128
13,2198,26.34906492,17.89899056,0.594759257,241.1369516,b,1,2.198,0.722913918,-0.101999976,12.26565436,2.299999976,36.4484128
14,2165,21.63795696,18.54899628,0.775458133,262.7749086,b,1,2.165,0.593659786,-0.134999976,12.26565436,2.299999976,36.4484128
15,2270,36.38062922,18.76963633,0.441399971,299.1555378,b,1,2.27,0.998140287,-0.029999976,12.26565436,2.299999976,36.4484128
16,2396,31.51223745,19.94370252,0.394314475,330.6677753,b,1,2.396,0.864570911,0.096000024,12.26565436,2.299999976,36.4484128
17,2228,28.78195426,20.66673595,0.566247986,359.4497295,b,1,2.228,0.78966276,-0.071999976,12.26565436,2.299999976,36.4484128
18,2355,35.28051344,21.14410174,0.431494951,394.730243,b,1,2.355,0.96795747,0.055000024,12.26565436,2.299999976,36.4484128
19,2385,32.53556254,21.92945794,0.41858956,427.2658055,b,1,2.385,0.892646896,0.085000024,12.26565436,2.299999976,36.4484128
20,2074,11.88876451,22.48767397,0.426627493,439.15457,b,1,2.074,0.326180582,-0.225999976,12.26565436,2.299999976,36.4484128
21,2206,31.40730968,21.9577285,0.414506875,470.5618797,b,1,2.206,0.861692109,-0.093999976,12.26565436,2.299999976,36.4484128
22,2290,35.2473134,22.40770856,0.470404263,505.8091931,b,1,2.29,0.967046592,-0.009999976,12.26565436,2.299999976,36.4484128
23,2445,22.29381093,22.99132696,0.376603958,528.103004,b,1,2.445,0.61165382,0.145000024,12.26565436,2.299999976,36.4484128
24,2068,12.65591282,22.96100017,0.458777518,540.7589168,b,1,2.068,0.347228092,-0.231999976,12.26565436,2.299999976,36.4484128
25,2276,36.05367703,22.53162154,0.450936429,576.8125939,b,1,2.276,0.989170015,-0.023999976,12.26565436,2.299999976,36.4484128
26,2271,34.40969471,23.07250376,0.4771603,611.2222886,b,1,2.271,0.944065655,-0.028999976,12.26565436,2.299999976,36.4484128
27,2151,23.12210053,23.50854956,0.43662716,634.3443891,b,1,2.151,0.634378804,-0.148999976,12.26565436,2.299999976,36.4484128
28,2250,38.99052458,23.49423663,0.375270823,673.3349137,b,1,2.25,1.069745473,-0.049999976,12.26565436,2.299999976,36.4484128
29,2269,36.45861137,24.04767549,0.439316129,709.7935251,b,1,2.269,1.000279808,-0.030999976,12.26565436,2.299999976,36.4484128
30,2217,34.47095265,24.4756388,0.363211497,744.2644777,b,1,2.217,0.94574633,-0.082999976,12.26565436,2.299999976,36.4484128
31,2130,21.29060889,nan,0.513112178,765.5550866,b,2,2.13,0.584129932,-0.169999976,12.26565436,2.299999976,36.4484128
32,2172,26.14152226,21.29060889,0.468033546,791.6966089,b,2,2.172,0.71721977,-0.127999976,12.26565436,2.299999976,36.4484128
33,2381,35.15754218,23.71606558,0.352044314,826.8541511,b,2,2.381,0.964583626,0.081000024,12.26565436,2.299999976,36.4484128
34,2530,9.396207056,27.52989111,0.390319605,836.2503581,b,2,2.53,0.257794684,0.230000024,12.26565436,2.299999976,36.4484128
35,2347,33.58311307,22.9964701,0.477114808,869.8334712,b,2,2.347,0.921387531,0.047000024,12.26565436,2.299999976,36.4484128
36,2192,29.51703194,25.11379869,0.38798008,899.3505031,b,2,2.192,0.809830379,-0.107999976,12.26565436,2.299999976,36.4484128
37,2089,14.72341803,25.8476709,0.447519975,914.0739211,b,2,2.089,0.403952241,-0.210999976,12.26565436,2.299999976,36.4484128
38,2174,26.03997427,24.25849192,0.505950399,940.1138954,b,2,2.174,0.714433696,-0.125999976,12.26565436,2.299999976,36.4484128
39,2226,33.17018802,24.48117721,0.437679422,973.2840834,b,2,2.226,0.910058504,-0.073999976,12.26565436,2.299999976,36.4484128
40,2370,34.82919792,25.44662286,0.408149104,1008.113281,b,2,2.37,0.955575161,0.070000024,12.26565436,2.299999976,36.4484128
41,2099,15.47167499,26.38488036,0.433741998,1023.584956,b,2,2.099,0.424481447,-0.200999976,12.26565436,2.299999976,36.4484128
42,2242,36.33601899,25.39277078,0.405547524,1059.920975,b,2,2.242,0.996916359,-0.057999976,12.26565436,2.299999976,36.4484128
43,2053,7.42929665,26.30470814,0.389044057,1067.350272,b,2,2.053,0.203830457,-0.246999976,12.26565436,2.299999976,36.4484128
44,2387,32.28129053,24.85275341,0.41822433,1099.631563,b,2,2.387,0.885670679,0.087000024,12.26565436,2.299999976,36.4484128
45,2346,36.24983916,25.3833632,0.427050684,1135.881402,b,2,2.346,0.994551926,0.046000024,12.26565436,2.299999976,36.4484128
46,2309,41.20882962,26.10779493,0.384044098,1177.090231,b,2,2.309,1.130606972,0.009000024,12.26565436,2.299999976,36.4484128
47,2198,30.7135502,27.0516096,0.370544067,1207.803782,b,2,2.198,0.842658098,-0.101999976,12.26565436,2.299999976,36.4484128
48,2259,38.34692862,27.26701787,0.399060949,1246.15071,b,2,2.259,1.05208775,-0.040999976,12.26565436,2.299999976,36.4484128
49,2437,23.64919362,27.88256847,0.370099941,1269.799904,b,2,2.437,0.64884015,0.137000024,12.26565436,2.299999976,36.4484128
50,2313,37.83508224,27.65975926,0.427868701,1307.634986,b,2,2.313,1.038044714,0.013000024,12.26565436,2.299999976,36.4484128
51,2233,33.13951663,28.16852541,0.455191151,1340.774503,b,2,2.233,0.909217002,-0.066999976,12.26565436,2.299999976,36.4484128
52,2327,37.33307364,28.40523928,0.428264153,1378.107576,b,2,2.327,1.024271587,0.027000024,12.26565436,2.299999976,36.4484128
